Fecha,Symbol,Fold,Target,Predicted,Model,TargetName
2020-06-17,NVDA,2020,0.65985,0.54950744,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-18,NVDA,2020,0.65715,0.584365,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-19,NVDA,2020,0.62996,0.534404,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-22,NVDA,2020,0.58803,0.6203926,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-23,NVDA,2020,0.59818,0.6189276,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-24,NVDA,2020,0.64083,0.53227925,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-25,NVDA,2020,0.62313,0.5889321,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-26,NVDA,2020,0.63717,0.477293,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-29,NVDA,2020,0.66187,0.46689513,MLP-Torch,TARGET_TREND_ANG_15_5
2020-06-30,NVDA,2020,0.69055,0.54769355,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-01,NVDA,2020,0.74199,0.5651975,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-02,NVDA,2020,0.77082,0.57479525,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-06,NVDA,2020,0.76299,0.6394908,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-07,NVDA,2020,0.78727,0.6402256,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-08,NVDA,2020,0.78565,0.681211,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-09,NVDA,2020,0.76187,0.71631604,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-10,NVDA,2020,0.75561,0.7041698,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-13,NVDA,2020,0.74588,0.6025712,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-14,NVDA,2020,0.69985,0.6009986,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-15,NVDA,2020,0.67825,0.5609538,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-16,NVDA,2020,0.62031,0.5138128,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-17,NVDA,2020,0.56069,0.50206345,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-20,NVDA,2020,0.53535,0.5503456,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-21,NVDA,2020,0.4884,0.50836045,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-22,NVDA,2020,0.49571,0.5158783,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-23,NVDA,2020,0.54499,0.47199073,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-24,NVDA,2020,0.58809,0.45903805,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-27,NVDA,2020,0.61745,0.52266496,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-28,NVDA,2020,0.6844,0.48070765,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-29,NVDA,2020,0.72048,0.52551514,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-30,NVDA,2020,0.74102,0.57095736,MLP-Torch,TARGET_TREND_ANG_15_5
2020-07-31,NVDA,2020,0.74936,0.5793586,MLP-Torch,TARGET_TREND_ANG_15_5
2020-08-03,NVDA,2020,0.76008,0.64728284,MLP-Torch,TARGET_TREND_ANG_15_5
