Symbol;OrdenN;Fecha;Entrada;H;Signal;final_ret;max_path_ret;avg_path_ret;sum_pos_path_ret;avg_pos_path_ret;n_pos_days;Anio
NVDA;45;2020-04-15;6.99474;5;0.7468893527984619;0.018908494096992825;0.049352799389255325;0.018181662220468478;0.1312514832574189;0.032812870814354723;4;2020
NVDA;46;2020-04-16;7.33995;5;0.7744627594947815;-0.036274089060552225;-0.00807634929393255;-0.03695992479512805;0.0;0.0;0;2020
NVDA;47;2020-04-17;7.28067;5;0.7661166787147522;-0.009339799771174852;-0.009339799771174852;-0.030986708640825623;0.0;0.0;0;2020
NVDA;48;2020-04-20;7.14941;5;0.6927451491355896;0.03494134481027107;0.03494134481027107;-0.006207784978061084;0.04378962739582716;0.02189481369791358;2;2020
NVDA;49;2020-04-21;6.71255;5;0.5255630612373352;0.08107351155671089;0.10229644471921988;0.07468398745633173;0.3734199372816587;0.07468398745633173;5;2020
NVDA;50;2020-04-22;7.127;5;0.6318272352218628;0.04301810018240493;0.04301810018240493;0.020792479304055006;0.1114409990178196;0.0278602497544549;4;2020
NVDA;51;2020-04-23;7.0737;5;0.5849562287330627;0.029117717743189653;0.050877192982456146;0.03430764663471738;0.1715382331735869;0.03430764663471738;5;2020
NVDA;52;2020-04-24;7.21267;5;0.5839247107505798;-0.023515563584636547;0.030629434037603213;0.009676028433298586;0.07189570575112948;0.01797392643778237;4;2020
NVDA;53;2020-04-27;7.39922;5;0.6466017365455627;-0.019489892177824052;0.00464508421157906;-0.01967802011563377;0.00464508421157906;0.00464508421157906;1;2020
NVDA;54;2020-04-28;7.25676;5;0.5949254035949707;0.00816893489656544;0.024367624118752696;0.0012008113813878586;0.035693615332462486;0.011897871777487495;3;2020
NVDA;55;2020-04-29;7.43359;5;0.6393657922744751;-0.0022438687094660896;-0.0022438687094660896;-0.02306449508245675;0.0;0.0;0;2020
NVDA;56;2020-04-30;7.27967;5;0.6031926274299622;0.04307612845087758;0.04307612845087758;0.006206874762180114;0.06692473697296705;0.022308245657655684;3;2020
NVDA;57;2020-05-01;7.04306;5;0.5218860507011414;0.10509920403915356;0.10509920403915356;0.06103000684361635;0.30515003421808173;0.06103000684361635;5;2020
NVDA;58;2020-05-04;7.25501;5;0.6031609177589417;0.10755739826685273;0.10755739826685273;0.05154424321951308;0.2577212160975654;0.05154424321951308;5;2020
NVDA;59;2020-05-05;7.31604;5;0.5845707058906555;0.06250375886408494;0.09831821586541348;0.05527307122432353;0.27636535612161767;0.05527307122432353;5;2020
NVDA;60;2020-05-06;7.41691;5;0.6047900319099426;0.045030882132855866;0.08338108457565213;0.04992753046753977;0.24963765233769883;0.04992753046753977;5;2020
NVDA;61;2020-05-07;7.59325;5;0.6513229608535767;0.053629210153754936;0.058221446679616685;0.03627063510354587;0.18135317551772934;0.03627063510354587;5;2020
NVDA;62;2020-05-08;7.78328;5;0.701228678226471;0.08681558417530906;0.08681558417530906;0.028333042110780988;0.14710507652300808;0.04903502550766936;3;2020
NVDA;63;2020-05-11;8.03534;5;0.7431309819221497;0.08489746544639065;0.08489746544639065;0.013054830287206304;0.13762081007150923;0.06881040503575461;2;2020
NVDA;64;2020-05-12;7.77332;5;0.686638355255127;0.1285486767558778;0.1285486767558778;0.072912217688195;0.3674453129422178;0.09186132823555446;4;2020
NVDA;65;2020-05-13;7.7509;5;0.6761825084686279;0.1529564308660931;0.1529564308660931;0.10660697467390892;0.5330348733695446;0.10660697467390892;5;2020
NVDA;66;2020-05-14;8.00047;5;0.707280158996582;0.09273955155134643;0.11699062680067555;0.09063492519814466;0.4531746259907233;0.09063492519814466;5;2020
NVDA;67;2020-05-15;8.45899;5;0.7684717774391174;0.06306899523465569;0.06306899523465569;0.04413080048563721;0.22065400242818606;0.04413080048563721;5;2020
NVDA;68;2020-05-18;8.71752;5;0.7949410676956177;-0.003713212014426148;0.031542227606016354;0.012423028567757793;0.06582835485321512;0.01645708871330378;4;2020
NVDA;69;2020-05-19;8.77257;5;0.819671094417572;-0.03182647730368631;0.025069050460697392;-0.0002954664368593887;0.04375000712448015;0.021875003562240074;2;2020
NVDA;70;2020-05-20;8.93645;5;0.8079275488853455;-0.053845766495644216;0.006270946516793516;-0.029397579575782352;0.006270946516793516;0.006270946516793516;1;2020
NVDA;71;2020-05-21;8.74243;5;0.7605283260345459;0.011424741176080203;0.028603031422613563;-0.0055721349784900055;0.040027772598693764;0.020013886299346882;2;2020
NVDA;72;2020-05-22;8.99249;5;0.766074001789093;-0.024373671808364503;-0.016700602391551245;-0.03809956975209312;0.0;0.0;0;2020
NVDA;73;2020-05-26;8.68515;5;0.6548632383346558;0.012330241849593785;0.018095254543675044;-0.0015949062480210437;0.040576155852230414;0.013525385284076805;3;2020
NVDA;74;2020-05-27;8.49337;5;0.5522755980491638;0.028649405359710015;0.04108381007774286;0.02667892721028281;0.13788166534602853;0.03447041633650713;4;2020
NVDA;75;2020-05-29;8.84231;5;0.5496522188186646;0.005471420929598699;0.005471420929598699;-0.006353769546645545;0.005471420929598699;0.005471420929598699;1;2020
NVDA;76;2020-06-01;8.77331;5;0.5142852067947388;0.00031459050233039956;0.013379214914325258;0.0015239402232452462;0.01585148592720404;0.005283828642401347;3;2020
NVDA;77;2020-06-02;8.79224;5;0.5339534282684326;0.025481561012893242;0.025481561012893242;0.004463936380262665;0.03667893506091738;0.01833946753045869;2;2020
NVDA;78;2020-06-04;8.7377;5;0.5142697691917419;0.0033933414971903564;0.06847110795747154;0.02512949632054199;0.12564748160270994;0.02512949632054199;5;2020
NVDA;79;2020-06-05;8.89069;5;0.5791761875152588;0.001401466027946178;0.05008497653163028;0.007769475709984356;0.06561245527624983;0.02187081842541661;3;2020
NVDA;80;2020-06-08;8.77607;5;0.554573118686676;0.041879793575028454;0.06379962785164642;0.029307423482264772;0.14753072844678738;0.036882682111696846;4;2020
NVDA;81;2020-06-09;9.01628;5;0.625659704208374;0.002487722209159426;0.03545808249078325;0.0023823572471130027;0.05206803692875551;0.01735601230958517;3;2020
NVDA;82;2020-06-10;9.33598;5;0.6970344185829163;-0.013958898797983644;-0.013958898797983644;-0.03473486447057503;0.0;0.0;0;2020
NVDA;83;2020-06-12;8.90315;5;0.5505912899971008;0.03680495105664838;0.03680495105664838;0.028996029495178665;0.14498014747589333;0.028996029495178665;5;2020
NVDA;84;2020-06-15;9.14361;5;0.6111608743667603;0.03847933146754939;0.03847933146754939;0.00963120693030425;0.05962852746344134;0.014907131865860335;4;2020
NVDA;85;2020-06-16;9.03871;5;0.5444194078445435;0.04206794996188622;0.050531547090237425;0.02976221164303313;0.14881105821516566;0.02976221164303313;5;2020
NVDA;86;2020-06-17;9.20566;5;0.57355135679245;-5.431441091682846e-05;0.03147954627913697;0.01107601193178979;0.05738317513355913;0.01912772504451971;3;2020
NVDA;87;2020-06-18;9.18772;5;0.5904037356376648;0.029506776436373634;0.03349361974461557;0.018951600614733482;0.09475800307366741;0.018951600614733482;5;2020
NVDA;88;2020-06-19;9.23083;5;0.5859158635139465;-0.011473507799406958;0.028666977942395297;0.011898171670369896;0.07374526451034222;0.02458175483678074;3;2020
NVDA;89;2020-06-22;9.49545;5;0.631321907043457;-0.03429853245501795;-0.003857637078811495;-0.023161198258113122;0.0;0.0;0;2020
NVDA;90;2020-06-23;9.41895;5;0.6485952734947205;0.005053641860292198;0.005053641860292198;-0.014216658969418147;0.009286597763020075;0.004643298881510037;2;2020
NVDA;91;2020-06-24;9.20516;5;0.5665495991706848;0.03188755002628966;0.03188755002628966;0.0150556861586328;0.0878398637286045;0.0292799545762015;3;2020
NVDA;92;2020-06-25;9.45882;5;0.6170353889465332;0.01288215654806839;0.01288215654806839;-0.00958893392621909;0.01791449673426508;0.005971498911421694;3;2020
NVDA;93;2020-06-30;9.46655;5;0.5732691884040833;0.07562311507360125;0.07562311507360125;0.03328118480333386;0.16640592401666932;0.03328118480333386;5;2020
NVDA;94;2020-07-01;9.49869;5;0.5727126002311707;0.10272784984034644;0.10272784984034644;0.05033051926107707;0.25165259630538533;0.05033051926107707;5;2020
NVDA;95;2020-07-02;9.58067;5;0.588909924030304;0.09019724090277616;0.09329201402407145;0.05938248577604703;0.29691242888023517;0.05938248577604703;5;2020
NVDA;96;2020-07-06;9.80692;5;0.6431326866149902;0.02164899887018559;0.06806928169088769;0.03927186109400305;0.19635930547001523;0.03927186109400305;5;2020
NVDA;97;2020-07-07;9.83932;5;0.6751418709754944;0.05118138245325887;0.06455222515377072;0.046085908375781984;0.23042954187890993;0.046085908375781984;5;2020
