,TARGET_TREND_ANG_15_5
BINARY_ADX_12_STRONG_TREND,0.011694360823388442
BINARY_ADX_14_STRONG_TREND,0.011641148399904704
ATR_14,-0.010876231791107476
BB_LOWER_50_2,-0.009445023811492323
BINARY_ADX_10_STRONG_TREND,0.00920088778676919
BB_LOWER_30_2,-0.008892047844738847
BB_SMA_50_2,-0.008198005046602324
BB_SMA_30_2,-0.00803441300709596
BB_LOWER_20_3,-0.007610608468535074
BB_LOWER_20_2.5,-0.007576839872734639
BB_LOWER_20_2,-0.007543360720834971
BB_LOWER_20_1,-0.007477396378884937
BB_SMA_20_2,-0.0074129215301041666
BB_SMA_20_1,-0.0074129215301041666
BB_SMA_20_2.5,-0.0074129215301041666
BB_SMA_20_3,-0.0074129215301041666
BB_UPPER_20_1,-0.007350080435567716
BB_UPPER_20_2,-0.007288968960884691
BB_UPPER_30_2,-0.007285855390840922
BB_UPPER_20_2.5,-0.00725908100881653
BINARY_ADX_9_STRONG_TREND,0.0072323997833493685
BB_UPPER_20_3,-0.0072296444765468405
TEMA_7,0.007162649130996087
BB_UPPER_50_2,-0.0071536223933476835
TEMA_10,0.006098328103405119
TEMA_12,0.005182428768192826
BINARY_ADX_8_STRONG_TREND,0.004979873392169585
BB_UPPER_10_2,-0.004501444014000445
BB_UPPER_10_1.5,-0.004371527033868791
TEMA_14,0.004236035100830404
BB_SMA_10_1.5,-0.003964188509134275
BB_SMA_10_2,-0.003964188509134275
BB_LOWER_10_1.5,-0.0035287514292611784
BB_LOWER_10_2,-0.0033769612889168812
