Symbol,year,train_hasta_año,mse,rmse,mae,r2,n_train,n_test
MAR,2021,2020,0.009005602123659074,0.09489785099600029,0.07347914462615573,0.5870537336406016,67725,252
MAR,2022,2021,0.01137928948732068,0.10667375256978953,0.08251018012129453,0.7172257592018509,74025,251
MAR,2023,2022,0.006925690153340725,0.08322073151168959,0.06527063681905745,0.5782836075069571,80300,250
MAR,2024,2023,0.005518484439779568,0.07428650240642352,0.05823143122355143,0.6479005125601098,86550,252
MS,2020,2019,0.013277892948284985,0.11522973986035456,0.08963221995329197,0.729774843805157,61400,253
MS,2021,2020,0.010665675464135906,0.10327475714876266,0.08305155076594581,0.4310372048353487,67725,252
MS,2022,2021,0.010028017015411938,0.10013998709512568,0.07889450535311641,0.7189533990431781,74025,251
MS,2023,2022,0.007085223438884499,0.08417376930424643,0.06640516900848388,0.775433395706204,80300,250
MS,2024,2023,0.008444716137376242,0.09189513663614762,0.06974593070718978,0.6224141904909214,86550,252
MSFT,2020,2019,0.010753638126060647,0.10369974988427237,0.08181151754279382,0.6204801830980653,61400,253
MSFT,2021,2020,0.006033172849511112,0.07767350159166968,0.06467481205675336,0.5768521110281347,67725,252
MSFT,2022,2021,0.01390106269027574,0.11790276795001778,0.09195700186471065,0.4933743388430756,74025,251
MSFT,2023,2022,0.006813824700647498,0.08254589451115965,0.06425270523387909,0.5954611524451867,80300,250
MSFT,2024,2023,0.005380992089424538,0.0733552458207628,0.05972317894763416,0.6331916164694236,86550,252
MU,2020,2019,0.01882747557143638,0.13721324852737937,0.10803180815698836,0.5971634614359541,61400,253
MU,2021,2020,0.011242577597306338,0.10603102186297338,0.08168407887210921,0.6639782364910483,67725,252
MU,2022,2021,0.01638943536079865,0.12802123011750297,0.10256585004934751,0.6173829124442496,74025,251
MU,2023,2022,0.012536295558412024,0.1119655998885909,0.08485132339179992,0.5938279062988981,80300,250
MU,2024,2023,0.020018440644249434,0.14148653873867095,0.10772732604003141,0.6777112880518887,86550,252
NKE,2020,2019,0.014988891754427133,0.12242912951755858,0.09472728207853001,0.520706776258131,61400,253
NKE,2021,2020,0.008148098226189018,0.09026681686084327,0.06946404306856413,0.6376724730759423,67725,252
NKE,2022,2021,0.013988872171691258,0.11827456265694351,0.0928122271164575,0.6659632511924944,74025,251
NKE,2023,2022,0.007065756531721633,0.0840580545321008,0.06541624905538558,0.7367786503016187,80300,250
NKE,2024,2023,0.010225689657560042,0.10112215216044426,0.07325332438856838,0.6349523313186489,86550,252
NVDA,2020,2019,0.014916040115897136,0.12213124135902793,0.09549862824573346,0.611034686430477,61400,253
NVDA,2021,2020,0.012727986209531384,0.11281837709137366,0.0915390135911722,0.7323058301673389,67725,252
NVDA,2022,2021,0.026784970840034828,0.1636611463971667,0.13320859750637495,0.6512588422208682,74025,251
NVDA,2023,2022,0.02618092367141157,0.16180520285643343,0.12789055324355122,0.36457322470184106,80300,250
NVDA,2024,2023,0.025345134404526008,0.1592015527704614,0.12952454446061265,0.5284261177912392,86550,252
ORCL,2020,2019,0.0070880221711235635,0.08419039239202751,0.06235046680188462,0.6629023252723052,61400,253
ORCL,2021,2020,0.00858168377272875,0.09263737783815316,0.06839555283328842,0.613287107352871,67725,252
ORCL,2022,2021,0.014615203947305923,0.120893357746842,0.09176997296705665,0.5203528127066126,74025,251
ORCL,2023,2022,0.00804149755858694,0.08967439745315794,0.06881465803881645,0.6980323051903903,80300,250
ORCL,2024,2023,0.011776659126957256,0.10852031665525702,0.08380010927389539,0.6080985734161204,86550,252
REGN,2020,2019,0.013200254644183009,0.11489236112197804,0.0903659844534953,0.5880671240293115,61400,253
REGN,2021,2020,0.007831683205714467,0.08849679771446234,0.06915510723023187,0.7220214645017431,67725,252
REGN,2022,2021,0.009387955863860197,0.09689146434986003,0.07174785703218314,0.6778007906939035,74025,251
REGN,2023,2022,0.008803935771229262,0.0938292905825748,0.07550697502019882,0.473271479585052,80300,250
REGN,2024,2023,0.006824217072311072,0.08260881957945575,0.06224556707527903,0.7561655762274404,86550,252
SBUX,2020,2019,0.012412345772793877,0.11141070762181648,0.08844570369767576,0.6126324559713624,61400,253
SBUX,2021,2020,0.005451858491121613,0.07383670151842926,0.0584237822731336,0.3957617593824433,67725,252
SBUX,2022,2021,0.011344252696515698,0.1065094019160548,0.08371867854883945,0.6446203148991959,74025,251
SBUX,2023,2022,0.006454270128967495,0.08033847228425181,0.06063582429828643,0.6258653875043756,80300,250
SBUX,2024,2023,0.010084627929712346,0.10042224818093023,0.06973068065017936,0.5959415652231381,86550,252
VRTX,2020,2019,0.013680345678935906,0.1169630098746433,0.09005913156151771,0.5681021719244554,61400,253
VRTX,2021,2020,0.005487038523491827,0.07407454706909673,0.05347174359616779,0.6778091903247117,67725,252
VRTX,2022,2021,0.00856027071806508,0.09252173105851987,0.06971767647262588,0.6585630320351001,74025,251
VRTX,2023,2022,0.006550816617759258,0.0809371152053201,0.061838613442668916,0.6331336501277953,80300,250
VRTX,2024,2023,0.0143242562478537,0.11968398492636222,0.09027543095535702,0.3000374934158536,86550,252
