Symbol,MeanDailyReturn,VolDaily,RetAnual,VolAnual,Sharpe,Sortino,Calmar,MaxDrawdown,Skewness,Kurtosis,RetMensual,RetSemanal,VolumenMedio,Alpha,Beta,Count,MeanReturn,StdReturn,AutocorrLag1,AutocorrLag5,AutocorrLag10,AutocorrLag15
CVX,0.0001885879155985107,0.01745872426109985,0.0475241547308247,0.27714865561992064,0.0993118825319907,0.12756045390337972,0.07948198270434963,-0.5979236188357434,-0.4680386629957006,19.408787329388204,0.003960346227568725,0.0009429395779925535,8212840.140625,-0.004373505092315771,0.897128673764532,6400,0.00034068495644389225,0.017424090390545044,-0.07936940635009515,0.0039377302091248845,-0.012660089896930736,-0.035161350353451484
DIS,0.0002220967288050796,0.01933427430185063,0.055968375658880055,0.3069220894956224,0.11719057340574074,0.1578180001412723,0.08178258222508243,-0.6843556920817639,-0.02616956815120794,9.663392744315615,0.004664031304906672,0.001110483644025398,9826247.51859375,-0.0013945058534275139,1.0508392316241622,6400,0.00040908264187998055,0.01935924604846584,-0.042392385637667604,-0.015151173241106358,0.004151543948708439,-0.013155956739968892
EBAY,0.00038603266081416323,0.026639913781779722,0.09728023052516914,0.42289552088874816,0.18274071657878682,0.24035424190695262,0.11783094547385106,-0.825591529745957,0.07523970640996643,10.731815837779903,0.008106685877097428,0.0019301633040708162,28769495.8628125,0.03686848460039347,1.1365892114662903,6400,0.0007415575001020905,0.026750887267147132,-0.06293266325951956,-0.023616664644174678,0.013060174940026568,-0.01515891916961704
GE,-1.0719429619984288e-06,0.020977626309153296,-0.00027012962642360404,0.3330094938627923,-0.06086952474326565,-0.08031385916078745,-0.00029853855949066267,-0.9048399874524511,-0.06131733989522361,7.348630318564664,-2.2510802201967004e-05,-5.3597148099921445e-06,9976002.00828125,-0.061342430432493156,1.1551674622812291,6400,0.00021891302392433346,0.020990868893325274,-0.014351573833601989,-0.022256066063301747,0.03529593291677387,-0.004795259787391306
GILD,0.0006514361317106597,0.02423422125437472,0.16416190519108623,0.3847063359383477,0.37473233925159305,0.502441253897408,0.3060132158847262,-0.5364536453645364,0.09262563698818999,7.7336548282967215,0.013680158765923853,0.0032571806585532984,15766360.078125,0.11444044661393404,0.8359225367474884,6400,0.0009458171640492801,0.024320350463652263,-0.03605642771729599,0.002106326599483138,-0.03994541665160243,0.0006475246522072624
HON,0.00022072987843388747,0.018852354410351675,0.05562392936533964,0.29927184838705356,0.11903535049266174,0.15214700169550957,0.08188034957596602,-0.6793318501129934,-0.23151126721879,13.871469960293966,0.004635327447111637,0.0011036493921694373,3981765.0471875,-0.0022030048043370004,1.0638908143224142,6400,0.0003983019334616613,0.018847847961881468,-0.005666988913180215,-0.015030491918097022,0.004552491519773799,-0.015351649496539848
IBM,0.00015693131242894317,0.01644308658275732,0.03954669073209368,0.26102590730567254,0.07488410224814836,0.09713618689671472,0.0672704056923524,-0.5878765011906197,-0.2180855938811604,8.770146927704234,0.0032955575610078064,0.0007846565621447159,6092360.156875,-0.010602148423121547,0.8479427091775754,6400,0.00029200538654456553,0.01643075197677118,-0.04236394399592728,-0.00805875237443368,0.02658581363954165,-0.027463115894445677
INTC,-0.00010754923182064011,0.02468465251631493,-0.02710240641880131,0.39185671054928445,-0.1202031384195912,-0.15244737765328983,-0.0323161506586153,-0.8386644407345576,-0.6388508938291264,11.793704126648551,-0.0022585338682334422,-0.0005377461591032005,48347325.53125,-0.09273190504779083,1.2833396498845606,6400,0.0001956651491015355,0.024547143719908456,-0.053365477911576524,-0.00538004148858049,0.012981175115744982,-0.06510808693926572
INTU,0.0005062341213539786,0.024931242117337347,0.1275709985812026,0.3957711991104842,0.27180097698613204,0.3353214191873746,0.17604050834084223,-0.7246684287812042,-0.31773507444237925,19.08292236808216,0.01063091654843355,0.0025311706067698927,3082934.796875,0.06726792305203542,1.133532832771733,6400,0.0008167839020398947,0.024940234971621865,-0.07875418780652002,-0.03085964283198452,-0.022614983006796558,-0.060244792815907534
JNJ,0.00018799253836748799,0.01212520997666716,0.047374119668606975,0.19248174115620356,0.14221670847414156,0.18495245982880892,0.13124074014793025,-0.3609711406321575,-0.48419609140578523,13.92291295633944,0.003947843305717248,0.0009399626918374399,9025530.03125,0.009445667399447636,0.5042416495774791,6400,0.00026139411538532415,0.01210021063188279,-0.030380410317347256,0.0014373247531793915,-0.011579415661316655,-0.019037003381380115
KLAC,0.00042991619294857825,0.028729495704573286,0.10833888062304171,0.4560666055595958,0.1936973230360717,0.2599767317116559,0.12834760546773613,-0.8441051956382296,0.043769203390155616,5.770467156097888,0.009028240051920143,0.0021495809647428914,3727613.1875,0.036498906045005594,1.458010647146019,6400,0.0008432363764673496,0.028818122810006317,-0.0481054838011807,-0.009233600801338192,-0.0003484500109813449,-0.0008838474264666344
KO,0.00014159102313650367,0.012926459572497965,0.035680937830398926,0.20520118416815952,0.07641738469476186,0.0991328825237734,0.08005914166777146,-0.4456822429906542,-0.1919122985620531,9.213681749323346,0.002973411485866577,0.0007079551156825184,14787180.109375,-0.003014139990340118,0.5258031612424751,6400,0.00022509162950140913,0.012919677101675355,-0.018796490265333202,0.01679346730412533,0.01627790468679151,-0.02805766901658841
LRCX,0.0004995950725683019,0.031092280630324386,0.12589795828721206,0.49357465345001356,0.21455307225968975,0.29725374174918456,0.14321946351191295,-0.8790562064683333,0.010553379674644151,4.435817727642316,0.01049149652393434,0.0024979753628415094,25048113.71875,0.04973793962241751,1.5795128339411217,6400,0.000983593268608716,0.03117441230949046,-0.021476618517066875,-7.292086336856069e-06,-0.004669032884284509,-0.009515231770300107
